ticker,last_tran_date,last_tran_time,ask_price,bid_price,open,previous_close,days_high,days_low,volume
CSCO,3/3/2016,9:30:00,26.96,26.95,26.95,26.9,27,27,455400
CSCO,3/3/2016,9:31:00,26.83,26.81,26.95,26.9,27,27,565018
CSCO,3/3/2016,9:32:00,26.79,26.78,26.95,26.9,27,27,666941
CSCO,3/3/2016,9:33:00,26.82,26.81,26.95,26.9,27,27,720739
CSCO,3/3/2016,9:34:00,26.79,26.78,26.95,26.9,27,27,769444
CSCO,3/3/2016,9:35:00,26.81,26.8,26.95,26.9,27,27,796960
CSCO,3/3/2016,9:36:00,26.83,26.82,26.95,26.9,27,27,829818
CSCO,3/3/2016,9:37:00,26.84,26.83,26.95,26.9,27,27,851342
CSCO,3/3/2016,9:38:00,26.85,26.84,26.95,26.9,27,27,916455
CSCO,3/3/2016,9:39:00,26.85,26.84,26.95,26.9,27,27,947192
CSCO,3/3/2016,9:40:00,26.86,26.85,26.95,26.9,27,27,1027060
CSCO,3/3/2016,9:41:00,26.87,26.86,26.95,26.9,27,27,1092169
CSCO,3/3/2016,9:42:00,26.87,26.86,26.95,26.9,27,27,1143253
CSCO,3/3/2016,9:43:00,26.83,26.82,26.95,26.9,27,27,1213795
CSCO,3/3/2016,9:44:00,26.82,26.81,26.95,26.9,27,27,1290482
CSCO,3/3/2016,9:45:00,26.78,26.77,26.95,26.9,27,27,1386288
CSCO,3/3/2016,9:46:00,26.78,26.77,26.95,26.9,27,27,1436542
CSCO,3/3/2016,9:47:00,26.78,26.77,26.95,26.9,27,27,1469136
CSCO,3/3/2016,9:48:00,26.8,26.79,26.95,26.9,27,27,1580332
CSCO,3/3/2016,9:49:00,26.81,26.8,26.95,26.9,27,27,1667864
CSCO,3/3/2016,9:50:00,26.83,26.82,26.95,26.9,27,27,1765793
CSCO,3/3/2016,9:51:00,26.85,26.84,26.95,26.9,27,27,1857629
CSCO,3/3/2016,9:52:00,26.84,26.83,26.95,26.9,27,27,1875332
CSCO,3/3/2016,9:53:00,26.81,26.8,26.95,26.9,27,27,1923097
CSCO,3/3/2016,9:54:00,26.81,26.8,26.95,26.9,27,27,1955683
CSCO,3/3/2016,9:55:00,26.81,26.8,26.95,26.9,27,27,1996329
CSCO,3/3/2016,9:56:00,26.82,26.81,26.95,26.9,27,27,2493954
CSCO,3/3/2016,9:57:00,26.78,26.77,26.95,26.9,27,27,2522085
CSCO,3/3/2016,9:58:00,26.77,26.76,26.95,26.9,27,27,2557019
CSCO,3/3/2016,9:59:00,26.79,26.78,26.95,26.9,27,27,2580115
CSCO,3/3/2016,10:00:00,26.77,26.76,26.95,26.9,27,27,2626453
CSCO,3/3/2016,10:01:00,26.77,26.76,26.95,26.9,27,27,2701709
CSCO,3/3/2016,10:02:00,26.77,26.76,26.95,26.9,27,27,2765407
CSCO,3/3/2016,10:03:00,26.79,26.78,26.95,26.9,27,27,2802370
CSCO,3/3/2016,10:04:00,26.81,26.8,26.95,26.9,27,27,2886855
CSCO,3/3/2016,10:05:00,26.8,26.79,26.95,26.9,27,27,3040786
CSCO,3/3/2016,10:06:00,26.79,26.78,26.95,26.9,27,27,3103926
CSCO,3/3/2016,10:07:00,26.79,26.78,26.95,26.9,27,27,3233509
CSCO,3/3/2016,10:08:00,26.78,26.77,26.95,26.9,27,27,3289252
CSCO,3/3/2016,10:10:00,26.78,26.77,26.95,26.9,27,27,3378645
CSCO,3/3/2016,10:11:00,26.8,26.79,26.95,26.9,27,27,3438076
CSCO,3/3/2016,10:12:00,26.8,26.79,26.95,26.9,27,27,4011612
CSCO,3/3/2016,10:13:00,26.77,26.76,26.95,26.9,27,27,4047619
