ticker,last_tran_date,last_tran_time,ask_price,bid_price,open,previous_close,days_high,days_low,volume
GOOG,3/3/2016,9:30:00,718.61,715.61,714.55,718.85,719,719,2406
GOOG,3/3/2016,9:31:00,718.49,717.61,717.54,718.85,719,718,33709
GOOG,3/3/2016,9:32:00,716.97,715.67,717.54,718.85,719,716,37787
GOOG,3/3/2016,9:33:00,715.9,715.63,717.54,718.85,719,715,43054
GOOG,3/3/2016,9:33:00,717.99,716.48,717.54,718.85,719,715,53394
GOOG,3/3/2016,9:35:00,719.25,718.6,717.54,718.85,719,715,59554
GOOG,3/3/2016,9:36:00,719.42,718.69,717.54,718.85,719,715,69557
GOOG,3/3/2016,9:37:00,718.69,717.86,717.54,718.85,719,715,76673
GOOG,3/3/2016,9:38:00,718.96,718.2,717.54,718.85,719,715,79769
GOOG,3/3/2016,9:39:00,718.68,717.97,717.54,718.85,719,715,84363
GOOG,3/3/2016,9:40:00,718.09,717.22,717.54,718.85,719,715,93401
GOOG,3/3/2016,9:41:00,716.73,716.15,717.54,718.85,719,715,98417
GOOG,3/3/2016,9:42:00,715.56,715.07,717.54,718.85,719,715,109063
GOOG,3/3/2016,9:43:00,714.98,714.5,717.54,718.85,719,714,124406
GOOG,3/3/2016,9:44:00,715.16,714.56,717.54,718.85,719,714,140035
GOOG,3/3/2016,9:45:00,714.82,714.37,717.54,718.85,719,714,145341
GOOG,3/3/2016,9:46:00,714.55,714.07,717.54,718.85,719,714,153768
GOOG,3/3/2016,9:47:00,714.37,713.72,717.54,718.85,719,714,160772
GOOG,3/3/2016,9:48:00,714.76,714.25,717.54,718.85,719,714,175037
GOOG,3/3/2016,9:49:00,714.65,714.06,717.54,718.85,719,714,187897
GOOG,3/3/2016,9:50:00,714.64,714.25,717.54,718.85,719,714,197246
GOOG,3/3/2016,9:51:00,713.97,713.65,717.54,718.85,719,714,202152
GOOG,3/3/2016,9:52:00,714.39,713.66,717.54,718.85,719,714,209096
GOOG,3/3/2016,9:53:00,714.53,713.91,717.54,718.85,719,714,212668
GOOG,3/3/2016,9:54:00,714.36,714,717.54,718.85,719,714,218950
GOOG,3/3/2016,9:55:00,714.24,713.9,717.54,718.85,719,714,222882
GOOG,3/3/2016,9:56:00,714.1,713.38,717.54,718.85,719,713,237008
GOOG,3/3/2016,9:57:00,714.19,713.74,717.54,718.85,719,713,241142
GOOG,3/3/2016,9:58:00,713.67,713,717.54,718.85,719,713,255493
GOOG,3/3/2016,9:59:00,713.49,713.05,717.54,718.85,719,713,259577
GOOG,3/3/2016,10:00:00,713.51,713.05,717.54,718.85,719,713,273756
GOOG,3/3/2016,10:01:00,713.05,712.53,717.54,718.85,719,713,286405
GOOG,3/3/2016,10:02:00,712.58,712.04,717.54,718.85,719,712,294487
GOOG,3/3/2016,10:03:00,712.53,712.01,717.54,718.85,719,712,303002
GOOG,3/3/2016,10:04:00,713.4,712.73,717.54,718.85,719,712,309197
GOOG,3/3/2016,10:05:00,713.99,713.48,717.54,718.85,719,712,312766
GOOG,3/3/2016,10:06:00,713.68,713.39,717.54,718.85,719,712,325321
GOOG,3/3/2016,10:07:00,714.14,713.53,717.54,718.85,719,712,333731
GOOG,3/3/2016,10:08:00,714.08,713.34,717.54,718.85,719,712,337272
GOOG,3/3/2016,10:10:00,713.29,713.14,717.54,718.85,719,712,341862
GOOG,3/3/2016,10:10:00,713.39,713.01,717.54,718.85,719,712,354635
GOOG,3/3/2016,10:12:00,713.03,712.5,717.54,718.85,719,712,365250
GOOG,3/3/2016,10:13:00,712.72,712.35,717.54,718.85,719,712,374295
GOOG,3/3/2016,10:14:00,712.06,711.86,717.54,718.85,719,712,388783
GOOG,3/3/2016,10:14:00,712.5,712.16,717.54,718.85,719,712,395952
GOOG,3/3/2016,10:16:00,712.14,711.85,717.54,718.85,719,712,411808
GOOG,3/3/2016,10:17:00,711.86,711.65,717.54,718.85,719,712,427795
GOOG,3/3/2016,10:18:00,711.83,711.38,717.54,718.85,719,711,439499
GOOG,3/3/2016,10:19:00,712.5,712.07,717.54,718.85,719,711,446923
GOOG,3/3/2016,10:20:00,713.13,712.87,717.54,718.85,719,711,450448
GOOG,3/3/2016,10:21:00,712.59,712.3,717.54,718.85,719,711,454393
GOOG,3/3/2016,10:22:00,711.96,711.55,717.54,718.85,719,711,459610
GOOG,3/3/2016,10:23:00,711.91,711.58,717.54,718.85,719,711,461898
GOOG,3/3/2016,10:24:00,711.68,711.5,717.54,718.85,719,711,466935
GOOG,3/3/2016,10:25:00,711.87,711.5,717.54,718.85,719,711,474912
GOOG,3/3/2016,10:26:00,711.63,711.41,717.54,718.85,719,711,481396
GOOG,3/3/2016,10:27:00,712.1,711.6,717.54,718.85,719,711,492928
GOOG,3/3/2016,10:28:00,712.32,712.11,717.54,718.85,719,711,500221
GOOG,3/3/2016,10:29:00,712.72,712.44,717.54,718.85,719,711,507259
GOOG,3/3/2016,10:30:00,712.7,712.21,717.54,718.85,719,711,515530
GOOG,3/3/2016,10:31:00,712.42,711.75,717.54,718.85,719,711,521438
GOOG,3/3/2016,10:32:00,712.38,712.01,717.54,718.85,719,711,522484
GOOG,3/3/2016,10:33:00,712.38,712.15,717.54,718.85,719,711,530493
GOOG,3/3/2016,10:34:00,712.05,711.81,717.54,718.85,719,711,536801
GOOG,3/3/2016,10:35:00,712.63,712.08,717.54,718.85,719,711,542511
