Date,Open,High,Low,Close,Volume,Adj Close
2016-03-02,30.299999,30.870001,30.120001,30.540001,23418500,30.540001
2016-03-01,29.93,30.530001,29.75,30.370001,25355600,30.370001
2016-02-29,29.719999,30.139999,29.58,29.59,21616500,29.59
2016-02-26,29.879999,30.08,29.700001,29.799999,19878200,29.799999
2016-02-25,29.32,29.620001,28.950001,29.620001,17311000,29.620001
2016-02-24,28.52,29.299999,28.379999,29.190001,21444600,29.190001
2016-02-23,29.299999,29.35,28.60,28.799999,26432900,28.799999
2016-02-22,29.110001,29.540001,29.00,29.35,23750400,29.35
2016-02-19,29.200001,29.33,28.709999,28.709999,41618800,28.709999
2016-02-18,29.530001,29.76,29.379999,29.42,20261500,29.42
2016-02-17,28.860001,29.620001,28.73,29.469999,27295100,29.469999
2016-02-16,28.75,28.950001,28.360001,28.780001,30354200,28.780001
2016-02-12,28.57,28.700001,28.139999,28.639999,19507900,28.639999
2016-02-11,27.83,28.41,27.68,28.219999,28142600,28.219999
2016-02-10,28.879999,29.00,28.190001,28.23,26850900,28.23
2016-02-09,28.49,29.15,28.41,28.809999,22710600,28.809999
2016-02-08,28.74,28.98,28.299999,28.82,28623800,28.82
2016-02-05,29.58,29.76,28.91,29.040001,27429400,29.040001
2016-02-04,29.139999,29.879999,29.110001,29.77,29109700,29.77
2016-02-03,29.719999,29.719999,28.52,29.34,44632000,29.34
2016-02-02,30.450001,30.49,29.629999,29.799999,24994300,29.54
2016-02-01,30.719999,31.120001,30.639999,30.82,19015100,30.551101
2016-01-29,30.209999,31.030001,30.10,31.02,38311400,30.749357
2016-01-28,30.02,30.18,29.75,29.969999,22028100,29.708517
2016-01-27,29.879999,30.219999,29.639999,29.809999,26384100,29.549913
2016-01-26,29.610001,30.049999,29.610001,29.940001,24754900,29.67878
2016-01-25,29.99,30.219999,29.57,29.60,26441000,29.341746
2016-01-22,30.120001,30.24,29.51,29.93,25326500,29.668867
2016-01-21,29.65,30.030001,29.24,29.66,30157400,29.401222
2016-01-20,29.35,29.870001,29.209999,29.59,39598200,29.331833
2016-01-19,29.98,30.059999,29.48,29.799999,28878100,29.54
2016-01-15,29.73,30.50,29.450001,29.76,76373900,29.50035
2016-01-14,31.969999,32.869999,31.799999,32.740002,48728200,32.454351
2016-01-13,32.759998,32.93,31.83,31.91,34445700,31.631591
2016-01-12,32.759998,32.889999,32.27,32.68,28587700,32.394874
2016-01-11,31.809999,32.220001,31.68,32.060001,27732400,31.780284
2016-01-08,32.09,32.220001,31.43,31.51,29953800,31.235082
2016-01-07,32.279999,33.009998,31.84,31.84,37680500,31.562202
2016-01-06,33.25,33.52,32.799999,33.080002,25491300,32.791385
2016-01-05,33.959999,34.00,33.529999,33.830002,16709500,33.534842
2016-01-04,33.880001,34.009998,33.459999,33.990002,27882200,33.693445
2015-12-31,34.82,34.959999,34.439999,34.450001,14736700,34.149431
2015-12-30,35.380001,35.450001,34.950001,34.990002,11566800,34.684721
2015-12-29,35.009998,35.59,35.009998,35.439999,14188600,35.130791
2015-12-28,34.950001,35.00,34.57,34.93,9449400,34.625243
2015-12-24,35.07,35.259998,34.959999,34.98,5893800,34.674806
2015-12-23,34.950001,35.049999,34.779999,35.00,12526500,34.694632
2015-12-22,34.360001,34.779999,34.27,34.73,18422000,34.426987
2015-12-21,34.110001,34.299999,33.82,34.240002,18006800,33.941264
2015-12-18,34.73,34.75,33.860001,33.869999,41336600,33.57449
