Date,Open,High,Low,Close,Volume,Adj Close
2016-04-28,50.619999,50.77,49.560001,49.900002,42758200,49.900002
2016-04-27,51.48,51.50,50.549999,50.939999,43145900,50.939999
2016-04-26,52.259998,52.349998,51.09,51.439999,33262300,51.439999
2016-04-25,51.779999,52.130001,51.630001,52.110001,33106500,52.110001
2016-04-22,51.91,52.43,50.77,51.779999,125605200,51.779999
2016-04-21,55.799999,56.23,55.419998,55.779999,36826000,55.779999
2016-04-20,56.290001,56.50,55.490002,55.59,36014100,55.59
2016-04-19,56.630001,56.77,55.68,56.389999,29533700,56.389999
2016-04-18,55.490002,56.59,55.209999,56.459999,23150300,56.459999
2016-04-15,55.299999,55.919998,55.110001,55.650002,28377600,55.650002
2016-04-14,55.220001,55.580002,55.07,55.360001,20875100,55.360001
2016-04-13,55.119999,55.439999,54.889999,55.349998,20601300,55.349998
2016-04-12,54.369999,54.779999,53.759998,54.650002,24574200,54.650002
2016-04-11,54.490002,55.150002,54.299999,54.310001,21332300,54.310001
2016-04-08,54.669998,55.279999,54.32,54.419998,22157000,54.419998
2016-04-07,54.869999,54.91,54.23,54.459999,18584100,54.459999
2016-04-06,54.360001,55.200001,54.209999,55.119999,21032100,55.119999
2016-04-05,55.189999,55.299999,54.459999,54.560001,19148800,54.560001
2016-04-04,55.43,55.66,55.00,55.43,18909100,55.43
2016-04-01,55.049999,55.610001,54.57,55.57,24298600,55.57
2016-03-31,54.950001,55.59,54.860001,55.23,26173800,55.23
2016-03-30,54.93,55.639999,54.900002,55.049999,22920300,55.049999
2016-03-29,53.66,54.860001,53.450001,54.709999,23375000,54.709999
2016-03-28,54.209999,54.290001,53.330002,53.540001,16988200,53.540001
2016-03-24,53.84,54.330002,53.73,54.209999,18842700,54.209999
2016-03-23,54.110001,54.240002,53.740002,53.970001,19905300,53.970001
2016-03-22,53.610001,54.25,53.459999,54.07,22911600,54.07
2016-03-21,53.25,53.93,52.93,53.860001,23807300,53.860001
2016-03-18,54.919998,54.970001,53.450001,53.490002,67422900,53.490002
2016-03-17,54.209999,55.00,54.00,54.66,28186500,54.66
2016-03-16,53.450001,54.599998,53.400002,54.349998,31297900,54.349998
2016-03-15,52.75,53.59,52.740002,53.59,20967600,53.59
2016-03-14,52.709999,53.59,52.630001,53.169998,23751100,53.169998
2016-03-11,53.00,53.07,52.380001,53.07,32174300,53.07
2016-03-10,52.93,52.939999,51.16,52.049999,38384200,52.049999
2016-03-09,51.889999,52.849998,51.860001,52.84,28145200,52.84
2016-03-08,50.799999,52.130001,50.599998,51.650002,33352200,51.650002
2016-03-07,51.560001,51.799999,50.580002,51.029999,38407800,51.029999
2016-03-04,52.400002,52.450001,51.709999,52.029999,32280400,52.029999
2016-03-03,52.970001,52.970001,51.779999,52.349998,24418100,52.349998
2016-03-02,52.41,52.959999,52.16,52.950001,29049200,52.950001
2016-03-01,50.970001,52.59,50.919998,52.580002,32778500,52.580002
2016-02-29,51.349998,51.650002,50.66,50.880001,31247100,50.880001
2016-02-26,52.599998,52.68,51.099998,51.299999,35869200,51.299999
2016-02-25,51.73,52.099998,50.610001,52.099998,26695900,52.099998
2016-02-24,50.689999,51.50,50.200001,51.360001,32076000,51.360001
2016-02-23,52.34,52.369999,50.98,51.18,28390800,51.18
2016-02-22,52.279999,53.00,52.279999,52.650002,24854400,52.650002
2016-02-19,51.970001,52.279999,51.529999,51.82,33275400,51.82
2016-02-18,52.330002,52.950001,52.099998,52.189999,26244700,52.189999
2016-02-17,51.490002,52.77,51.450001,52.419998,39670300,52.419998
2016-02-16,50.900002,51.09,50.130001,51.09,35937100,51.09
2016-02-12,50.25,50.68,49.75,50.50,34243300,50.14
2016-02-11,48.68,50.110001,48.509998,49.689999,48878600,49.335773
2016-02-10,49.889999,50.389999,49.52,49.709999,38237000,49.355631
2016-02-09,49.02,50.240002,48.669998,49.279999,46740500,48.928696
2016-02-08,49.549999,49.57,48.189999,49.41,59290500,49.05777
2016-02-05,51.939999,52.00,49.560001,50.16,62009000,49.802423
2016-02-04,52.099998,52.810001,51.369999,52.00,46987100,51.629307
2016-02-03,53.25,53.389999,51.259998,52.16,57559800,51.788166
2016-02-02,54.169998,54.259998,52.650002,53.00,56313800,52.622178
2016-02-01,54.880001,55.09,54.50,54.709999,44208500,54.319987
2016-01-29,54.73,55.09,54.00,55.09,83611700,54.697279
2016-01-28,51.860001,52.209999,51.25,52.060001,62513800,51.68888
2016-01-27,52.009998,52.200001,51.02,51.220001,36775200,50.854868
2016-01-26,51.790001,52.439999,51.549999,52.169998,28900800,51.798093
2016-01-25,51.939999,52.650002,51.650002,51.790001,34707700,51.420805
2016-01-22,51.41,52.330002,51.259998,52.290001,37555800,51.91724
2016-01-21,51.00,51.580002,50.299999,50.48,40191200,50.120142
2016-01-20,49.98,51.380001,49.099998,50.790001,63273000,50.427933
2016-01-19,51.48,51.68,50.060001,50.560001,43564500,50.199574
2016-01-15,51.310001,51.970001,50.34,50.990002,71820700,50.626508
2016-01-14,52.00,53.419998,51.57,53.110001,52381900,52.731395
2016-01-13,53.799999,54.07,51.299999,51.639999,66883600,51.271873
2016-01-12,52.759998,53.099998,52.060001,52.779999,36095500,52.403745
2016-01-11,52.509998,52.849998,51.459999,52.299999,36943800,51.927167
2016-01-08,52.369999,53.279999,52.150002,52.330002,48754000,51.956956
2016-01-07,52.700001,53.490002,52.07,52.169998,56564900,51.798093
2016-01-06,54.32,54.400002,53.639999,54.049999,39518900,53.664692
2016-01-05,54.93,55.389999,54.540001,55.049999,34079700,54.657563
2016-01-04,54.32,54.799999,53.389999,54.799999,53778000,54.409346
2015-12-31,56.040001,56.189999,55.419998,55.48,27334100,55.084498
2015-12-30,56.470001,56.779999,56.290001,56.310001,21704500,55.908583
2015-12-29,56.290001,56.849998,56.060001,56.549999,27731400,56.14687
2015-12-28,55.349998,55.950001,54.98,55.950001,22458300,55.551149
2015-12-24,55.860001,55.959999,55.43,55.669998,9570000,55.273143
2015-12-23,55.700001,55.880001,55.439999,55.82,27279800,55.422075
2015-12-22,54.990002,55.48,54.50,55.349998,28322200,54.955424
2015-12-21,54.880001,55.349998,54.23,54.830002,37246300,54.439134
2015-12-18,55.77,56.00,54.029999,54.130001,84684200,53.744124
2015-12-17,56.360001,56.790001,55.529999,55.700001,41280900,55.302931
2015-12-16,55.540001,56.25,54.759998,56.130001,37503300,55.729866
2015-12-15,55.66,55.900002,55.09,55.200001,39459000,54.806496
2015-12-14,54.330002,55.209999,53.68,55.139999,46768900,54.746922
2015-12-11,54.709999,55.099998,54.009998,54.060001,39549500,53.674623
2015-12-10,55.389999,55.66,55.009998,55.27,31775800,54.875996
2015-12-09,55.369999,55.869999,54.509998,54.98,36373200,54.588063
2015-12-08,55.470001,56.099998,54.990002,55.790001,32878000,55.39229
2015-12-07,55.790001,55.970001,55.290001,55.810001,30709800,55.412148
2015-12-04,54.119999,56.23,54.099998,55.91,43963700,55.511433
2015-12-03,55.490002,55.77,53.93,54.200001,38627800,53.813624
2015-12-02,55.32,55.959999,55.060001,55.209999,47274900,54.816423
2015-12-01,54.41,55.23,54.299999,55.220001,39952800,54.826354
2015-11-30,54.540001,54.959999,54.00,54.349998,56241400,53.962553
2015-11-27,53.799999,54.080002,53.790001,53.93,9009100,53.545549
2015-11-25,54.09,54.23,53.689999,53.689999,21005100,53.307258
2015-11-24,53.919998,54.439999,53.580002,54.25,24600000,53.863267
2015-11-23,54.25,54.459999,53.75,54.189999,28235900,53.803694
2015-11-20,54.25,54.299999,53.27,54.189999,37147600,53.803694
2015-11-19,53.990002,54.66,53.779999,53.939999,28149200,53.555476
2015-11-18,53.00,53.98,52.98,53.849998,29710000,53.466117
2015-11-17,53.169998,53.529999,52.849998,52.970001,31551300,52.592393
2015-11-16,53.080002,53.889999,52.849998,53.77,32165200,53.029255
2015-11-13,53.07,53.290001,52.529999,52.84,36848200,52.112067
2015-11-12,53.48,53.98,53.189999,53.32,35361100,52.585454
2015-11-11,53.700001,54.200001,53.459999,53.650002,36516300,52.910909
2015-11-10,54.07,54.130001,53.27,53.509998,55283700,52.772835
2015-11-09,54.549999,54.869999,53.560001,54.16,32513100,53.413882
2015-11-06,54.09,54.98,53.959999,54.919998,32851200,54.16341
2015-11-05,54.490002,54.700001,54.00,54.380001,31468500,53.630852
2015-11-04,54.18,54.880001,54.060001,54.400002,37087800,53.650577
2015-11-03,52.93,54.389999,52.900002,54.150002,36596900,53.404021
2015-11-02,52.849998,53.360001,52.619999,53.240002,30285000,52.506558
